,0,1,2,3,4
119,[[0.99999793]],2,0,[[0.78584323]],False
120,[[0.78584323]],2,0,[[0.99998]],False
121,[[0.99998]],2,0,[[0.00041372]],False
122,[[0.00041372]],2,0,[[8.8289118e-07]],False
123,[[8.8289118e-07]],2,0,[[0.99989056]],False
124,[[0.99989056]],2,0,[[0.00028868]],False
125,[[0.00028868]],2,0,[[0.94734449]],False
126,[[0.94734449]],2,0,[[0.99992737]],False
127,[[0.99992737]],2,0,[[0.0214584]],False
128,[[0.0214584]],2,0,[[0.99974903]],False
129,[[0.99974903]],2,0,[[6.54358397e-11]],False
130,[[6.54358397e-11]],2,0,[[1.]],False
131,[[1.]],2,0,[[0.01005115]],False
132,[[0.01005115]],2,0,[[0.99994983]],False
133,[[0.99994983]],2,0,[[0.97011277]],False
134,[[0.97011277]],2,0,[[0.72511352]],False
135,[[0.72511352]],2,0,[[6.50679096e-05]],False
136,[[6.50679096e-05]],2,0,[[0.63877887]],False
137,[[0.63877887]],2,0,[[0.00012842]],False
138,[[0.00012842]],2,0,[[0.52996281]],False
139,[[0.52996281]],2,0,[[7.74176482e-18]],False
140,[[7.74176482e-18]],2,0,[[0.00398979]],False
141,[[0.00398979]],2,0,[[0.99999902]],False
142,[[0.99999902]],2,0,[[6.98131176e-09]],False
143,[[6.98131176e-09]],2,0,[[0.50750669]],False
144,[[0.50750669]],2,0,[[2.32299717e-05]],False
145,[[2.32299717e-05]],2,0,[[1.]],False
146,[[1.]],2,0,[[0.99517966]],False
147,[[0.99517966]],2,0,[[0.04030871]],False
148,[[0.04030871]],2,0,[[0.99999767]],False
149,[[0.99999767]],2,0,[[0.99978829]],False
150,[[0.99978829]],2,0,[[0.47003719]],False
151,[[0.47003719]],2,0,[[0.99999994]],False
152,[[0.99999994]],2,0,[[0.99994778]],False
153,[[0.99994778]],2,0,[[0.99268171]],False
154,[[0.99268171]],2,0,[[0.99715682]],False
155,[[0.99715682]],2,0,[[0.01852435]],False
156,[[0.01852435]],2,0,[[0.99992664]],False
157,[[0.99992664]],2,0,[[0.89090085]],False
158,[[0.89090085]],2,0,[[0.52497295]],False
159,[[0.52497295]],2,0,[[0.03292624]],False
160,[[0.03292624]],2,0,[[0.99868158]],False
161,[[0.99868158]],2,0,[[0.25162468]],False
162,[[0.25162468]],2,0,[[0.17363832]],False
163,[[0.17363832]],2,0,[[0.04436407]],False
164,[[0.04436407]],2,0,[[0.99995724]],False
165,[[0.99995724]],2,0,[[0.00208703]],False
166,[[0.00208703]],2,0,[[2.04502602e-06]],False
167,[[2.04502602e-06]],2,0,[[0.99929033]],False
168,[[0.99929033]],2,0,[[0.85321091]],False
169,[[0.85321091]],2,0,[[6.72338558e-06]],False
170,[[6.72338558e-06]],2,0,[[0.19622869]],False
171,[[0.19622869]],2,0,[[0.99999964]],False
172,[[0.99999964]],2,0,[[0.93021301]],False
173,[[0.93021301]],2,0,[[0.999944]],False
174,[[0.999944]],2,0,[[0.276886]],False
175,[[0.276886]],2,0,[[1.00814353e-07]],False
176,[[1.00814353e-07]],2,0,[[9.92921706e-06]],False
177,[[9.92921706e-06]],2,0,[[0.99999982]],False
178,[[0.99999982]],2,0,[[9.28794567e-15]],False
179,[[9.28794567e-15]],2,0,[[0.99999995]],False
180,[[0.99999995]],1,0,[[0.00636898]],False
181,[[0.00636898]],1,0,[[0.00402976]],False
182,[[0.00402976]],2,0,[[4.4862453e-12]],False
183,[[4.4862453e-12]],2,0,[[0.50250248]],False
184,[[0.50250248]],2,0,[[1.]],False
185,[[1.]],2,0,[[0.04393654]],False
186,[[0.04393654]],2,0,[[1.23817214e-13]],False
187,[[1.23817214e-13]],2,0,[[1.]],False
188,[[1.]],2,0,[[2.15217223e-18]],False
189,[[2.15217223e-18]],2,0,[[2.5751169e-10]],False
190,[[2.5751169e-10]],2,0,[[2.33071783e-14]],False
191,[[2.33071783e-14]],2,0,[[0.95073217]],False
192,[[0.95073217]],2,0,[[2.47969211e-07]],False
193,[[2.47969211e-07]],2,0,[[0.56709781]],False
194,[[0.56709781]],2,0,[[1.]],False
195,[[1.]],2,0,[[0.99999997]],False
196,[[0.99999997]],2,0,[[1.]],False
197,[[1.]],2,0,[[7.01500165e-07]],False
198,[[7.01500165e-07]],2,0,[[1.]],False
199,[[1.]],2,0,[[0.99999894]],False
200,[[0.99999894]],2,0,[[0.04973883]],False
201,[[0.04973883]],2,0,[[1.]],False
202,[[1.]],2,0,[[0.06008665]],False
203,[[0.06008665]],2,0,[[0.99999567]],False
204,[[0.99999567]],2,0,[[1.]],False
205,[[1.]],2,0,[[0.44028882]],False
206,[[0.44028882]],2,0,[[0.00330146]],False
207,[[0.00330146]],2,0,[[0.99998956]],False
208,[[0.99998956]],2,0,[[0.99951941]],False
209,[[0.99951941]],2,0,[[0.6704195]],False
210,[[0.6704195]],2,0,[[0.99823875]],False
211,[[0.99823875]],2,0,[[0.80534531]],False
212,[[0.80534531]],2,0,[[0.19309027]],False
213,[[0.19309027]],2,0,[[0.74648566]],False
214,[[0.74648566]],2,0,[[0.62010408]],False
215,[[0.62010408]],2,0,[[0.81757448]],False
216,[[0.81757448]],2,0,[[0.99997191]],False
217,[[0.99997191]],2,0,[[0.04393654]],False
218,[[0.04393654]],2,0,[[0.98253658]],False
219,[[0.98253658]],2,0,[[0.99997856]],False
220,[[0.99997856]],2,0,[[0.99729491]],False
221,[[0.99729491]],2,0,[[0.08471964]],False
222,[[0.08471964]],2,0,[[0.99698173]],False
223,[[0.99698173]],2,0,[[0.00511719]],False
224,[[0.00511719]],2,0,[[7.37412251e-07]],False
225,[[7.37412251e-07]],2,0,[[0.99999798]],False
226,[[0.99999798]],2,0,[[0.99958217]],False
227,[[0.99958217]],2,0,[[0.08240152]],False
228,[[0.08240152]],1,0,[[0.96923696]],False
229,[[0.96923696]],1,0,[[2.88071165e-07]],False
230,[[2.88071165e-07]],2,0,[[0.37989569]],False
231,[[0.37989569]],2,0,[[2.3601458e-15]],False
232,[[2.3601458e-15]],2,0,[[0.99989795]],False
233,[[0.99989795]],2,0,[[4.65888615e-15]],False
234,[[4.65888615e-15]],2,0,[[3.05126576e-06]],False
235,[[3.05126576e-06]],2,0,[[4.62125216e-08]],False
236,[[4.62125216e-08]],2,0,[[1.]],False
237,[[1.]],2,0,[[1.]],False
238,[[1.]],2,0,[[0.99991891]],False
239,[[0.99991891]],2,0,[[0.99962572]],False
240,[[0.99962572]],2,0,[[0.97416582]],False
241,[[0.97416582]],2,0,[[0.42799432]],False
242,[[0.42799432]],2,0,[[0.99898326]],False
243,[[0.99898326]],2,0,[[0.85815478]],False
244,[[0.85815478]],2,0,[[3.64340626e-05]],False
245,[[3.64340626e-05]],2,0,[[4.83390645e-10]],False
246,[[4.83390645e-10]],2,0,[[0.33182309]],False
247,[[0.33182309]],2,0,[[4.59032846e-17]],False
